,geometry
0,"LINESTRING (369748.160845033 3284121.735446429, 369586.2613417501 3284592.268986602, 369454.7951371642 3284842.410342574, 369303.3397925719 3285134.22282564, 369056.3231048796 3285604.222620632, 368843.842649488 3286008.510166579, 368614.9321299298 3286444.059271659)"
1,"LINESTRING (370165.4816260467 3285171.34171957, 370155.9295622741 3285259.678178912, 370085.8739283355 3285465.712174647)"
2,"LINESTRING (368408.1363361384 3284728.423526106, 369303.3397925715 3285134.22282564)"
3,"LINESTRING (370409.9969896423 3285199.175660721, 370488.4020012278 3285211.360534018, 370890.0258323859 3285215.692689103, 371222.993558066 3285229.595603426, 371234.8106469123 3285230.322844883, 371246.5898385029 3285231.515788474, 371258.3127870783 3285233.17257622, 371627.0919820621 3285292.736077746, 371628.9436227966 3285293.031851954)"
4,"LINESTRING (370334.2249765657 3285134.782881895, 370345.7561389579 3285112.548756116, 370360.7259734125 3285083.988279433, 370360.7259734125 3285080.962308358, 370360.7259734125 3285063.846246381)"
5,"LINESTRING (370360.7259734125 3285063.846246381, 370360.7259734125 3285061.835774226, 370358.4618065131 3285008.21559045, 370359.6177277991 3284999.444039239)"
6,"LINESTRING (370359.6177277991 3284999.444039239, 370359.9123694864 3284997.208190935, 370368.9098141806 3284958.972442451, 370368.0539146811 3284951.499113112)"
7,"LINESTRING (370116.1932881504 3285165.743216956, 370123.730043498 3285082.893655312)"
8,"LINESTRING (370123.730043498 3285082.893655312, 370119.1436471373 3285063.470528612)"
9,"LINESTRING (370119.1436471373 3285063.470528612, 370096.0826524124 3284966.586780655)"
10,"LINESTRING (369784.4157338212 3285164.997995402, 369783.0217504806 3285154.620766708, 369781.5295789915 3285143.512596089, 369780.674676067 3285136.960206035, 369781.3238528237 3285127.300062962, 369783.3398858249 3285101.684986772, 369784.1106132551 3285091.892368383, 369784.8735227481 3285082.19908222, 369785.7887260404 3285070.570799325, 369785.9630982806 3285068.355280925, 369787.1648247028 3285053.086525974)"
11,"LINESTRING (370334.2249765657 3285134.782881895, 370305.7668234306 3285113.885891961, 370304.6859530281 3285110.466417531, 370279.965158651 3285083.45077496, 370262.1568339211 3285061.565039605, 370261.4855651786 3285060.035977624, 370246.7186145374 3285040.973427283)"
12,"LINESTRING (370246.7186145374 3285040.973427283, 370237.6369821055 3285029.250013316, 370236.8894266189 3285027.132600435, 370236.3179699687 3285024.276453647, 370230.9143066441 3284969.41823587, 370230.8840243501 3284955.423153345)"
13,"LINESTRING (370133.2608582164 3284953.418577217, 370132.9501371861 3284950.686039782, 370123.5705762184 3284916.587110747, 370117.4360117153 3284902.012879542, 370112.0191068503 3284887.993246532, 370110.3037130689 3284881.411642503, 370103.9863075719 3284866.213806886)"
14,"LINESTRING (369653.9838265061 3284988.678372295, 369653.8431294512 3284988.83685873, 369653.8431294512 3284988.932134921, 369653.6417622934 3284993.490060632, 369653.1143441897 3284995.730079718, 369651.6193242235 3285002.079640404, 369649.8616803726 3285009.474474268, 369649.3364098511 3285012.980338935, 369648.9638493282 3285018.679677452, 369648.8451253289 3285022.378225877)"
15,"LINESTRING (369648.8451253289 3285022.378225877, 369648.8347101815 3285022.702683674, 369648.8347101815 3285026.471144751, 369649.2930904474 3285031.096848081, 369649.9056140743 3285033.433557919, 369650.9537396826 3285034.887967466)"
16,"LINESTRING (370382.712267029 3285486.119721568, 370092.9227496581 3285467.711002143, 370007.0922106609 3285443.372118578, 369969.6972859263 3285438.828852428)"
17,"LINESTRING (369969.6972859263 3285438.828852428, 369919.3245384588 3285432.708856198)"
18,"LINESTRING (369919.3245384588 3285432.708856198, 369802.548584881 3285418.521256123)"
19,"LINESTRING (370049.1401579342 3284664.247653948, 370044.633120584 3284702.723668474, 370054.6756302 3284747.903045846, 370060.8353202811 3284768.533057469, 370066.9705392524 3284780.503398732, 370071.5428231179 3284788.634757977, 370080.929740834 3284803.062696381, 370094.7741645553 3284821.868217721)"
20,"LINESTRING (369735.2266606409 3284796.146513232, 369738.9007966528 3284794.441274903, 369741.1571871124 3284790.512158675, 369744.6662180725 3284778.936684229, 369745.5369062338 3284775.019961646, 369745.6791775205 3284774.379965393, 369747.533694125 3284774.01205816, 369754.2228789552 3284774.666192931, 369758.8520031735 3284775.853328336, 369772.3773777873 3284779.055025767)"
21,"LINESTRING (369743.6843312155 3284885.766928121, 369749.6020818916 3284867.685315476, 369757.9772424418 3284843.726423107, 369773.2286302688 3284808.89289883, 369784.4529258376 3284782.295074638)"
22,"LINESTRING (369706.2329961073 3284866.957531647, 369711.6802895631 3284855.732874935, 369719.6547911332 3284840.182284506, 369725.5113970464 3284819.475320285, 369729.7584959983 3284808.665028929, 369733.8268796577 3284796.796178942, 369735.2266606409 3284796.146513232)"
23,"LINESTRING (369660.7697687445 3284765.055674778, 369676.0995196732 3284775.407952582, 369676.7738371555 3284775.407952582, 369679.451108263 3284777.078407278, 369688.7667139556 3284783.39287628)"
24,"LINESTRING (369657.2928430834 3284842.206546479, 369662.809040168 3284830.337936162, 369669.4604570309 3284818.585160014, 369676.4251205059 3284808.012980878, 369681.3689246989 3284798.45505234, 369685.1795533563 3284793.189403941, 369685.7928960477 3284790.642561328, 369685.7928960477 3284788.897488978, 369688.5294128103 3284783.945300806, 369688.7667139556 3284783.39287628)"
25,"LINESTRING (369625.281677462 3284826.017224693, 369631.0806257136 3284812.621868717, 369641.095689614 3284792.746323578, 369645.7801234276 3284784.975966937, 369653.7594256245 3284774.931293406, 369660.7697687445 3284765.055674778)"
26,"LINESTRING (370195.539142257 3285079.788484957, 370197.3366268895 3285076.860337146, 370200.9980500222 3285074.371332016)"
27,"LINESTRING (370200.9980500222 3285074.371332016, 370209.4313179398 3285068.638466313, 370222.0628146675 3285059.291644352, 370230.533532726 3285053.343968681, 370232.175096956 3285052.261395373, 370233.9579042843 3285051.642230564, 370246.7186145374 3285040.973427283)"
28,"LINESTRING (370192.1293569959 3285050.576716196, 370191.0373849478 3285055.879229993, 370191.5221800389 3285057.772668186, 370200.9980500222 3285074.371332016)"
29,"LINESTRING (370235.1272806118 3285179.25254383, 370237.7453033667 3285139.030772037, 370237.7453033667 3285135.40257337, 370197.2347216327 3285081.144548633, 370195.5391422574 3285079.788484957, 370193.745348217 3285078.353872706, 370155.6280270257 3285075.259092019, 370151.6093105182 3285076.855189902, 370150.7803946389 3285076.855189902, 370145.0178070352 3285078.14157564, 370123.730043498 3285082.893655312)"
30,"LINESTRING (370145.0178070352 3285078.14157564, 370138.6903904572 3285057.857267322, 370124.6256676185 3284996.033436739, 370124.6256676185 3284994.455145541, 370124.6256676185 3284992.974078134, 370126.5873722531 3284991.810087939, 370145.6842899797 3284986.764971139, 370151.2672601432 3284986.764971139, 370154.938852626 3284987.989615348, 370165.5392290151 3284990.617596617, 370173.8240649684 3284989.448389622, 370177.7877904052 3284989.448389622, 370178.4375814602 3284991.007326488, 370192.1293569959 3285047.952212796, 370192.1293569959 3285050.576716196)"
31,"LINESTRING (369648.8451253289 3285022.378225877, 369645.8277884228 3285022.055330746, 369641.9376422673 3285021.44529534, 369638.0222643799 3285021.033915743, 369636.7311914379 3285020.843259029, 369630.0274227115 3285016.885567163, 369626.0720699331 3285015.466214523, 369621.967829456 3285012.961749731, 369613.6278431694 3285009.144146382, 369610.1503689386 3285008.434278779, 369608.9746366378 3285008.194272896, 369608.498904807 3285005.996938278, 369608.6902729665 3285004.916676308, 369608.4393435005 3285003.678103239, 369607.4740306545 3285002.897304522, 369602.6110863145 3284999.466005341, 369588.8822026131 3284990.504009455, 369585.238367311 3284989.344018808, 369584.3234724263 3284988.584469863, 369583.8333699644 3284986.517267522)"
32,"LINESTRING (370221.4673803812 3284816.926263066, 370246.2257136866 3284816.117247613, 370250.061938105 3284815.781407305, 370290.4269539014 3284813.058202014, 370292.4656050816 3284812.082312303, 370295.0497758744 3284810.360159098, 370299.5528096851 3284807.514724145)"
33,"LINESTRING (370230.8840243501 3284955.423153345, 370230.3856006026 3284931.212310103, 370229.4050895622 3284918.498303455, 370229.1671513669 3284917.545315502, 370228.4318818456 3284916.910535065, 370227.1027906667 3284891.351927831, 370225.7375241455 3284878.913194422, 370221.7168282326 3284817.952361962, 370221.4673803812 3284816.926263066)"
34,"LINESTRING (369487.4913636665 3284944.717288232, 369486.216307983 3284939.926803525, 369480.7652526848 3284924.263564956, 369477.322580975 3284914.371280738, 369477.322580975 3284910.063621889, 369479.5840708772 3284888.448099476, 369479.9972433411 3284885.205961526, 369479.6918005918 3284881.858652854, 369479.1252810793 3284876.216820882, 369478.6522259107 3284873.026051041, 369473.7679631462 3284854.147610611, 369462.8242277416 3284827.133354768)"
35,"LINESTRING (369566.8772196455 3284884.828682423, 369567.8278348367 3284881.917220149, 369569.4181392895 3284877.745395962, 369569.8859005201 3284876.518324244, 369570.8339830347 3284876.118258107, 369577.8337070149 3284858.284030103, 369577.8337070149 3284857.208621204, 369577.3140561848 3284856.707060494, 369578.7254633317 3284852.428187534, 369584.7824214867 3284841.243903661, 369589.6670710316 3284833.577691771, 369593.1757607153 3284828.857912116, 369603.3393316336 3284815.007093078)"
36,"LINESTRING (369569.8698169025 3284935.496762916, 369568.7218208284 3284932.224091412, 369562.3491361162 3284886.0047756, 369562.3491361162 3284885.274127737, 369562.9220033772 3284884.727893814, 369564.2832883357 3284884.727893814, 369566.9403142864 3284884.635441595)"
37,"LINESTRING (369683.3673339567 3284990.585363921, 369681.7135460263 3284992.665347806, 369680.4836753935 3284993.635412092, 369679.7624892287 3284993.788438276, 369678.1636756071 3284993.645167511, 369666.9742781877 3284991.34539263, 369654.112851894 3284988.570227993, 369653.9838265061 3284988.678372295)"
38,"LINESTRING (369653.9838265061 3284988.678372295, 369653.4885200892 3284986.322951529, 369653.2484887295 3284985.676937578, 369652.7314771072 3284985.132442591, 369652.1986302401 3284984.852335115, 369651.8435430906 3284984.65354019, 369642.8364288867 3284983.320890797, 369634.5245410578 3284982.693900783, 369613.366152108 3284982.556924958, 369612.5702945762 3284982.443911644, 369607.1651523849 3284981.388865658, 369603.3241045875 3284980.017664099, 369602.8912973311 3284979.937238404, 369592.6759266924 3284978.081082953, 369590.6142962067 3284977.919814223, 369588.4545827648 3284978.045400031, 369583.5799285438 3284979.074821621)"
39,"LINESTRING (369583.5799285438 3284979.074821621, 369582.2062138199 3284979.364920475, 369573.780112017 3284981.445589683)"
40,"LINESTRING (369573.780112017 3284981.445589683, 369583.8333699641 3284986.517267522)"
41,"LINESTRING (369529.6527224479 3284941.072527739, 369527.4332189644 3284957.880339784, 369527.4947625499 3284958.686526938, 369527.7363865347 3284959.655930427, 369528.1899661732 3284960.421687367, 369528.6334440183 3284960.764274737, 369529.117215279 3284961.011151183, 369530.6166945954 3284961.849630338, 369563.0623136517 3284976.931004231, 369571.7184587793 3284980.987624046, 369573.780112017 3284981.445589683)"
42,"LINESTRING (369613.8771375514 3284923.882709588, 369615.0378636679 3284929.105648816, 369615.0378636679 3284939.478053967, 369615.0378636679 3284943.366123035, 369614.8548482317 3284945.834917763, 369614.4463886899 3284948.441317959, 369613.5706936375 3284950.544975121, 369611.9046810145 3284952.565422993, 369609.7095112964 3284953.682331186, 369606.5927254785 3284954.874602242, 369604.5408423076 3284955.754231043, 369599.0149848494 3284956.7259446, 369582.7881363304 3284958.83364646, 369537.5984632847 3284965.094896329)"
43,"LINESTRING (369716.4852109672 3284931.36653017, 369714.80443497 3284935.084712141, 369706.3987779831 3284955.768751935, 369697.1330797206 3284976.495168152, 369692.8979405445 3284986.211146056)"
44,"LINESTRING (369683.3673339567 3284990.585363921, 369687.349419786 3284988.152658014, 369692.8979405445 3284986.211146056)"
45,"LINESTRING (370361.5730224665 3284827.853538666, 370336.4583251629 3284826.61672192, 370321.9268949041 3284827.273134693, 370305.7630303837 3284828.929446588, 370303.6799157088 3284811.916504953, 370303.0763107825 3284810.077634507, 370299.5528096851 3284807.514724145, 370293.6882861497 3284795.226878031, 370292.304135645 3284794.322319387, 370291.8807470496 3284793.352811889, 370290.618705968 3284780.3302137, 370290.618705968 3284776.149451392, 370290.6179361632 3284776.141471383)"
46,"LINESTRING (369660.7697687445 3284765.055674778, 369667.8142741877 3284755.131930964, 369672.7975495583 3284745.748921176, 369680.3829656787 3284730.243537536)"
47,"LINESTRING (369772.3773777873 3284779.055025767, 369774.5158581585 3284760.185951105, 369775.599393204 3284734.840196389)"
48,"LINESTRING (369819.1388402522 3284916.920612563, 369820.7773637519 3284911.365805161, 369826.2532412508 3284877.340746039, 369826.2532412508 3284853.868442159, 369827.5263175286 3284834.114205052, 369829.811802853 3284817.252841016, 369830.2966206957 3284815.263483229, 369832.9363720895 3284807.709678222, 369862.6859111305 3284759.185099348)"
49,"LINESTRING (370368.0539146811 3284951.499113112, 370357.3858387661 3284914.372657131, 370360.5727151484 3284827.84042098)"
50,"LINESTRING (370361.5730224665 3284827.853538666, 370367.060883827 3284709.39664117)"
51,"LINESTRING (370211.2808429333 3284775.02413896, 370290.618705968 3284776.141482225)"
52,"LINESTRING (370140.2014157287 3284831.288267792, 370149.881403254 3284838.531358037, 370155.3444032409 3284844.158809026, 370163.3935989297 3284851.704425848, 370168.5168919754 3284858.578796792, 370169.8265114809 3284861.831819717, 370204.3930736541 3284858.023148472, 370203.1368945954 3284850.524451552, 370223.6769210749 3284847.670822141)"
53,"LINESTRING (369487.4913636665 3284944.717288232, 369486.2561463632 3284949.160699119, 369486.2561463632 3284956.445736697, 369487.9383225349 3284981.684536592, 369488.5483434652 3284998.980321099, 369489.8863988484 3285027.527842725, 369489.8863988484 3285037.952960217, 369489.8863988484 3285045.627205982, 369489.6572428431 3285049.675165907, 369487.8968460261 3285062.788692623, 369475.327939466 3285107.844644257, 369468.9490435153 3285127.328424973, 369464.2928674222 3285147.68184654, 369461.4905190269 3285161.288260222)"
54,"LINESTRING (370255.7014142352 3284956.119113947, 370181.215574732 3284954.030287928, 370139.6372061002 3284952.982423742, 370133.2608582164 3284953.418577217)"
55,"LINESTRING (370133.2608582164 3284953.418577217, 370130.9081869967 3284953.57950409, 370108.4620013626 3284959.922404661, 370102.9628942887 3284962.589129376, 370095.0613577017 3284967.180187134)"
56,"LINESTRING (370095.0613577017 3284967.180187134, 370083.5023802434 3284972.912014946, 370064.2443798602 3284981.079074581, 370043.5274438464 3284984.943837819, 370017.0016992264 3284988.269029353)"
57,"LINESTRING (370017.0385986214 3284988.670971145, 369963.9128641463 3284991.695648698, 369922.4618372703 3284992.03112383)"
58,"LINESTRING (369922.4618372703 3284992.03112383, 369887.9859169397 3284988.225797353, 369822.3763821394 3284975.478524899, 369811.1468960699 3284972.168898926, 369793.3547023577 3284965.883209281, 369772.7808523363 3284957.257662329, 369751.1138699254 3284946.111304604, 369739.1590341139 3284940.349486191, 369716.4852109675 3284931.36653017, 369697.9533170121 3284924.024531102, 369673.5044962779 3284917.073351447, 369668.5695880341 3284915.791548479, 369653.3507807667 3284914.329748462, 369649.510392771 3284914.641469756, 369645.96266102 3284915.254756969, 369641.536489475 3284916.481922297, 369620.3786426553 3284922.347979621, 369618.3701120274 3284922.904848942, 369613.8771375514 3284923.882709588, 369608.9311916459 3284924.959155912, 369585.9461526729 3284932.167958625, 369569.8698169025 3284935.496762916, 369555.5540417143 3284938.46102135, 369541.5060414395 3284940.047833326, 369529.6527224479 3284941.072527739, 369489.9243225862 3284944.506964068)"
59,"LINESTRING (369512.7601345181 3284732.120073811, 369584.7145649825 3284740.656499277, 369609.9737118803 3284737.757190084, 369649.32405354 3284729.807980642, 369662.0360966767 3284728.933390813, 369695.8664708378 3284731.349211946, 369760.6576620182 3284733.463051209, 369792.3131104306 3284736.380661469, 369834.8126291684 3284742.824336955, 369858.5241058082 3284755.507364075, 369880.0417293985 3284774.522218724, 369900.0555490554 3284795.673941182, 369916.6006301836 3284806.655976291, 370003.3128901273 3284857.255624964, 370053.094616055 3284852.106658653, 370097.276879466 3284820.052502346, 370153.5494056004 3284763.890065168, 370202.7122268551 3284689.107108146)"
60,"LINESTRING (369303.3397925719 3285134.22282564, 369370.4459944844 3285145.44871489, 369645.7752679633 3285193.681592655, 369663.6318942034 3285194.111983669, 369788.3916388428 3285164.039634974, 369856.4665657341 3285151.455420587, 369897.2503648316 3285146.118300776, 369910.7684842954 3285145.321526035, 369931.1514231837 3285145.225633427, 369935.9258630574 3285145.462692552, 370008.1943296432 3285152.230357855, 370043.4498978978 3285157.620242034, 370072.6628778363 3285160.79873868, 370408.5567830456 3285198.951839125)"
61,"LINESTRING (370409.9969896423 3285199.175660721, 370384.9259430792 3285486.26034412)"
62,"LINESTRING (370410.9943211671 3285199.330655383, 370465.831095112 3284716.166177256)"
63,"LINESTRING (370465.8346715689 3284716.134665245, 370299.6414249541 3284704.797506651, 370020.7947091227 3284659.659238936)"
64,"LINESTRING (369585.8396470489 3284593.071347062, 370020.7947091055 3284659.659238934)"
65,"LINESTRING (369996.2366124711 3284654.02164476, 370004.2185642339 3284883.267005863, 370016.7061990919 3284985.050172981, 370032.3934446731 3285155.929927418)"
66,"LINESTRING (369914.3395372186 3284643.361864576, 369918.0338030107 3284789.604850716, 369914.2442208732 3284834.691276926, 369916.1203587863 3284912.572246114, 369914.6686336604 3284934.274481345, 369921.954593083 3284999.853144276, 369928.3091831044 3285038.695671604, 369934.1952802666 3285057.028677687)"
67,"LINESTRING (369662.9609593351 3285045.896264848, 369699.6157041093 3285048.872315765, 369730.0182093772 3285050.92866593, 369789.8457245406 3285053.234385576, 369821.4152055263 3285056.008716339, 369864.0371202609 3285058.470922031, 369878.098785115 3285058.669550277, 369934.1952802666 3285057.028677687)"
68,"LINESTRING (369661.3961922106 3285046.0697693, 369654.8177970574 3285078.835649404, 369616.8319988839 3285188.368022439)"
69,"LINESTRING (369489.9243225859 3284944.506964068, 369519.6393899178 3284979.973992982, 369539.7727827147 3284989.438716443, 369546.2413251402 3284994.253196033, 369548.3746878064 3284997.897945201, 369558.5548410321 3285037.103197321, 369565.8396907752 3285053.493818014, 369593.5648881891 3285053.591037486, 369662.9609593351 3285045.896264848)"
70,"LINESTRING (370024.500892391 3285069.679068424, 369941.461929286 3285075.490064756)"
71,"LINESTRING (369941.461929286 3285075.490064756, 369942.4057975044 3285070.447603676, 369934.1952802666 3285057.028677687)"
72,"LINESTRING (369934.2737571758 3285145.380662663, 369935.4385712789 3285107.668866572, 369941.461929286 3285075.490064756)"
73,"LINESTRING (369497.5132706176 3284761.130352328, 369603.9846667874 3284815.246477919, 369739.0022335757 3284883.530240567, 369763.8371930116 3284895.394163314, 369818.2905201073 3284916.69728604, 369836.5827473527 3284921.512849487, 369914.9651095204 3284936.942968684)"
74,"LINESTRING (370038.6096535569 3284899.188033719, 370098.5369320819 3284870.950912812, 370105.6857229393 3284864.736516393, 370138.9674682906 3284832.783998668, 370189.8550563677 3284771.100547354, 370192.4570106259 3284766.838552581, 370217.7878659319 3284691.547474821)"
75,"LINESTRING (370038.6096535573 3284899.188033719, 370007.4439811275 3284909.556463428)"
76,"LINESTRING (370007.4439811275 3284909.556463428, 369914.9651095204 3284936.942968684)"
77,"LINESTRING (369749.7605079449 3285051.689523297, 369758.4222497098 3285004.71840261, 369764.205028903 3284971.071421654, 369770.2032656254 3284955.931649181)"
78,"LINESTRING (370024.500892391 3285069.679068424, 370119.1436471373 3285063.470528612)"
79,"LINESTRING (370334.2249765657 3285134.782881895, 370353.7821869724 3285150.464468298, 370349.9781249731 3285192.298079141)"
80,"LINESTRING (370211.2808429333 3284775.02413896, 370192.4570106259 3284766.838552581)"
81,"LINESTRING (370233.3574720053 3284994.221353573, 370180.3057765358 3284998.777257853)"
82,"LINESTRING (369487.4913636665 3284944.717288232, 369449.0295576583 3284959.173045868, 369380.8071714383 3284984.964651592)"
83,"LINESTRING (369489.9243225859 3284944.506964068, 369487.4913636665 3284944.717288232)"
84,"LINESTRING (369802.548584881 3285418.521256123, 369819.8577535402 3285308.998360384, 369820.5368908959 3285255.559535071, 369801.9391594537 3285161.535263518)"
85,"LINESTRING (369495.4488317152 3285496.227694803, 369584.8689844244 3285252.870010731, 369599.7638323439 3285185.268450852)"
86,"LINESTRING (370364.0241687793 3284937.4750112, 370440.907889838 3284935.76347672)"
87,"LINESTRING (370143.3211604069 3285168.824584074, 370151.6093105182 3285076.855189902)"
88,"LINESTRING (370285.6619401155 3284776.071674333, 370285.4640188908 3284764.59489564, 370296.1127738901 3284749.492511147, 370299.7639003621 3284704.805861522)"
89,"LINESTRING (370221.4673803812 3284816.926263066, 370211.2808429333 3284775.02413896)"
90,"LINESTRING (369732.5624768454 3284937.736050272, 369741.5271124434 3284917.23914364, 369748.8738422165 3284888.246012405)"
91,"LINESTRING (369772.3773777873 3284779.055025767, 369784.4529258376 3284782.295074638)"
92,"LINESTRING (369650.9537396826 3285034.887967466, 369657.0804585639 3285043.389580598, 369659.5884333567 3285046.270217151)"
93,"LINESTRING (369988.2257184858 3285150.390781603, 369986.6667935158 3285171.65273863, 369986.2878220067 3285239.097058219, 369986.1795904633 3285248.3212637, 369985.4003206445 3285314.735773881, 369984.9147114468 3285317.029944514, 369981.7973432211 3285331.757372801, 369981.0650809944 3285335.216809944, 369980.3301674798 3285341.12906129, 369978.6033591388 3285355.020933914, 369976.7452023586 3285369.969481876, 369972.9952638201 3285400.137084901, 369968.2087418582 3285438.643821196)"
94,"LINESTRING (369817.6037648462 3285323.260360692, 369886.8629048392 3285328.776284018, 369982.5145602098 3285328.369014095)"
95,"LINESTRING (369847.08431283 3284980.279027224, 369857.6945206791 3284925.66885053)"
